,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
North America,2721.47979,2751.93984,2703.66724,2793.36457,2933.73382,3014.6924,3045.48789,3164.72328,3309.11813,3570.89409,3623.80264,3689.26139,3714.01115,3845.45025,3927.78159,4043.37311,4156.74582,4216.70927,4339.05085,4440.87026,4577.45229,4501.41161,4638.75969,4648.66109,4760.46014,4894.58787,4902.00389,5029.98306,4998.17814,NA
Bermuda,0.311,0.32,0.331,0.345,0.358,0.37,0.387,0.409,0.431,0.438,0.461,0.482,0.486,0.487,0.495,0.49,0.494,0.498,0.51,0.55,0.595,0.64368,0.643,0.624,0.62716,0.65244,0.6664,0.67555,0.68432,0.69372
Canada,367.797,380.221,378.43,397.358,426.983,447.981,457.507,484.209,491.189,485.342,468.69255,494.25325,505.56515,518.1317,539.8274,544.19605,557.2929,557.6118,545.6839,562.682,587.901,571.814,583.368,571.791,581.8188,607.581,597.6655,622.9572,632.227,604.4366
Greenland,0.151,0.154,0.159,0.165,0.171,0.174,0.179,0.183,0.188,0.197,0.207,0.202,0.203,0.237,0.24,0.242,0.243,0.258,0.264,0.277,0.28,0.267,0.292,0.291,0.295,0.3,0.305,0.325,0.31033,NA
Mexico,63.604,73.251,80.351,82.027,86.726,93.132,96.909,104.599,109.861,117.729,116.57475,120.48325,123.8328,129.36346,139.6558,144.9187,154.4893,166.13019,172.25745,182.51145,186.53025,192.00328,195.95744,192.72088,207.11491,230.58068,238.61376,249.22834,245.51648,239.12384
Saint Pierre and Miquelon,0.016,0.02,0.024,0.024,0.03,0.033,0.035,0.036,0.038,0.042,0.04,0.042,0.042,0.04,0.041,0.039,0.039,0.039,0.04,0.04,0.041,0.04,0.047,0.049,0.049,0.051,0.051,0.052,0.053,NA
United States,2289.60079,2297.97384,2244.37224,2313.44557,2419.46582,2473.0024,2490.47089,2575.28728,2707.41113,2967.14609,3037.82734,3073.79889,3083.8822,3197.19109,3247.52239,3353.48736,3444.18762,3492.17228,3620.2955,3694.80981,3802.10504,3736.64365,3858.45225,3883.18521,3970.55526,4055.42275,4064.70223,4156.74497,4119.387,3953.11135
Central & South America,308.24824,315.7586,334.58852,355.88154,383.09974,403.59746,435.43128,451.64234,473.12916,484.2006,494.56038,517.32009,530.85859,563.39055,588.13253,626.68748,659.89573,696.97219,722.78917,745.23505,781.98725,768.34712,790.0369,835.77628,881.77413,914.54889,959.29795,1004.25308,1039.24765,NA
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0.056,0.059,0.062,0.068,0.071,0.072,0.081,0.085,0.086,0.088,0.089,0.089,0.089,0.089,0.091,0.092,0.092,0.093,0.095,0.095,0.1,0.094,0.099,0.102,0.104,0.107,0.109,0.111,0.115,NA
Argentina,41.849,40.475,41.09,41.684,44.013,43.703,47.194,50.181,49.258,48.023,45.563,48.716,53.436,58.911,60.299,64.662,66.727,69.524,71.203,76.912,85.156,86.461,81.097,88.122,95.56147,100.62928,109.78829,109.51081,115.41894,NA
Aruba,--,--,--,--,--,--,0.274,0.299,0.308,0.334,0.318,0.319,0.321,0.499,0.53,0.579,0.603,0.635,0.686,0.694,0.73,0.76,0.775,0.791,0.813,0.855,0.854,0.88,0.91,NA
